NomeIntesta;idEEFattura;dtIniz;annoComp;meseComp;tipoSpesa;prezzoUnit;quantita;importo
"alessandro";1760;"2025-03-01";2025;"2025-03";"S2";0,04;111,00;4,56
"alessandro";1760;"2025-03-01";2025;"2025-03";"P";0,90;4,50;4,04
"alessandro";1760;"2025-03-01";2025;"2025-03";"R";0,06;315,00;18,63
"alessandro";1760;"2025-04-01";2025;"2025-04";"PU";0,10;197,00;19,67
"alessandro";1760;"2025-04-01";2025;"2025-04";"PU";0,10;108,00;10,78
"alessandro";1760;"2025-04-01";2025;"2025-04";"S1";0,01;197,00;2,20
"alessandro";1760;"2025-04-01";2025;"2025-04";"S2";0,04;108,00;4,22
"alessandro";1760;"2025-04-01";2025;"2025-04";"P";0,87;4,50;3,91
"alessandro";1760;"2025-04-01";2025;"2025-04";"R";0,06;305,00;18,03
"alessandro";1760;"2025-05-01";2025;"2025-05";"PU";0,09;204,00;19,09
"alessandro";1760;"2025-05-01";2025;"2025-05";"PU";0,09;111,00;10,39
"alessandro";1760;"2025-05-01";2025;"2025-05";"S1";0,01;204,00;2,28
